timestamp,load-1m,load-5m,load-15m,sys-mem-swap-total,sys-mem-swap-free,sys-mem-free,sys-mem-cache,sys-mem-buffered,sys-mem-available,sys-mem-total,sys-fork-rate,sys-interrupt-rate,sys-context-switch-rate,sys-thermal,disk-io-time,disk-bytes-read,disk-bytes-written,disk-io-read,disk-io-write,cpu-iowait,cpu-system,cpu-user,server-up
2760,0.0,0.01,0.0,16952324096,16926896128,491130880,5089157120,871014400,6762917888,8080035840,0.9,958.95,1814.65,0.05,0.0018000000000029,0.0,23961.6,0.0,2.3000000000000003,0.0034999999999854,0.0085000000000945,0.0169999999998253,2
2790,0.0,0.01,0.0,16952324096,16926896128,489598976,5089198080,871014400,6761435136,8080035840,0.5,935.45,1776.35,1.65,0.000799999999981,0.0,16384.0,0.0,1.7000000000000002,0.0019999999999981,0.0105000000000472,0.0135000000000218,2
2820,0.0,0.0,0.0,16952324096,16926896128,490602496,5089218560,871018496,6762467328,8080035840,0.1,951.95,1762.85,0.05,0.000799999999981,0.0,12492.8,0.0,1.6,0.0004999999999881,0.0104999999999563,0.0159999999999854,2
2850,0.0,0.0,0.0,16952324096,16926896128,490213376,5089267712,871018496,6762123264,8080035840,0.05,936.75,1794.15,1.65,0.0005999999999403,0.0,5939.200000000001,0.0,0.25,0.0015000000000327,0.0090000000001964,0.0135000000002037,2
2880,0.0,0.0,0.0,16952324096,16926896128,489787392,5089288192,871022592,6761725952,8080035840,0.1,931.4,1705.3000000000002,1.6,0.0010000000000218,0.0,7987.200000000001,0.0,0.6000000000000001,0.0009999999999763,0.0119999999998071,0.016000000000713,2
2910,0.0,0.0,0.0,16952324096,16926896128,488349696,5089333248,871022592,6760325120,8080035840,0.1,944.4,1812.7,0.05,0.000799999999981,0.0,7577.6,0.0,0.5,0.0019999999999981,0.0080000000000836,0.0125,2
2940,0.16,0.03,0.01,16952324096,16926896128,489504768,5089394688,871022592,6761537536,8080035840,0.35,992.4,2194.5,1.65,0.000799999999981,0.0,18636.8,0.0,1.9,0.0015000000000327,0.0129999999999199,0.0119999999997162,2
2970,0.1,0.03,0.01,16952324096,16926896128,478978048,5092851712,871030784,6754443264,8080035840,1.05,1198.45,4061.9,1.55,0.0011999999999716,0.0,75161.6,0.0,2.35,0.0039999999999736,0.0409999999998945,0.086000000000422,2
3000,0.06,0.03,0.0,16952324096,16926896128,496640000,5092913152,871030784,6772211712,8080035840,0.95,985.85,1936.15,1.65,0.0018000000000029,0.0,40550.4,0.0,6.1000000000000005,0.004000000000019,0.0145000000000436,0.0125000000001819,2
3030,0.03,0.02,0.0,16952324096,16926896128,494272512,5093593088,871038976,6770462720,8080035840,5.65,1059.1,2105.8,1.6,0.0017999999999119,0.0,39116.8,0.0,5.4,0.00300000000002,0.0399999999998726,0.0229999999997744,2
